"rules","support","confidence","coverage","lift","count"
"{Nivel_Educativo=Técnico,Edad=[-7.97e+03,26),Sector=Privado} => {Grupos_Quinquenales=20 a 24}",0.0645332177514508,0.871828236824984,0.0740205639432686,4.33606644875506,2680
"{Nivel_Educativo=Técnico,Sexo=Mujer,Edad=[-7.97e+03,26)} => {Grupos_Quinquenales=20 a 24}",0.0742372799730309,0.869920993227991,0.0853379566086349,4.326580709912,3083
"{Nivel_Educativo=Técnico,Edad=[-7.97e+03,26)} => {Grupos_Quinquenales=20 a 24}",0.104481205904308,0.868147258903561,0.120349635194683,4.31775898383305,4339
"{Nivel_Educativo=Técnico,Edad=[-7.97e+03,26),Pueblo_Pertenencia=Ladino} => {Grupos_Quinquenales=20 a 24}",0.0567073611211443,0.860745614035088,0.0658816730477498,4.28094665931295,2355
"{Sexo=Mujer,Edad=[-7.97e+03,26),Sector=Privado,Pueblo_Pertenencia=Ladino} => {Grupos_Quinquenales=20 a 24}",0.0576223843579186,0.776192020759001,0.0742372799730309,3.86041657845516,2393
"{Sexo=Mujer,Edad=[-7.97e+03,26),Pueblo_Pertenencia=Ladino} => {Grupos_Quinquenales=20 a 24}",0.0790291121866647,0.769519343493552,0.102699318548484,3.82722979831661,3282
"{Edad=[-7.97e+03,26),Sector=Privado,Pueblo_Pertenencia=Ladino} => {Grupos_Quinquenales=20 a 24}",0.0840376604300609,0.763008307826847,0.110139902236991,3.79484694799295,3490
"{Sexo=Mujer,Edad=[-7.97e+03,26)} => {Grupos_Quinquenales=20 a 24}",0.138024031399745,0.757199471598415,0.182282260588986,3.76595650970186,5732
"{Sexo=Mujer,Edad=[-7.97e+03,26),Sector=Privado} => {Grupos_Quinquenales=20 a 24}",0.103782898697296,0.750217580504787,0.138337065664957,3.73123184440518,4310
"{Edad=[-7.97e+03,26),Pueblo_Pertenencia=Ladino} => {Grupos_Quinquenales=20 a 24}",0.111945869151677,0.748149340199549,0.149630378771461,3.72094538313139,4649
"{Grupos_Quinquenales=20 a 24} => {Edad=[-7.97e+03,26)}",0.201064316501722,1,0.201064316501722,3.68556975505857,8350
"{Edad=[-7.97e+03,26)} => {Grupos_Quinquenales=20 a 24}",0.201064316501722,0.74103656372027,0.271328469262443,3.68556975505857,8350
"{Nivel_Educativo=Técnico,Grupos_Quinquenales=20 a 24} => {Edad=[-7.97e+03,26)}",0.104481205904308,1,0.104481205904308,3.68556975505857,4339
"{Sexo=Hombre,Grupos_Quinquenales=20 a 24} => {Edad=[-7.97e+03,26)}",0.0630402851019769,1,0.0630402851019769,3.68556975505857,2618
"{Departamento=Guatemala,Grupos_Quinquenales=20 a 24} => {Edad=[-7.97e+03,26)}",0.0677598786390233,1,0.0677598786390233,3.68556975505857,2814
"{Grupos_Quinquenales=20 a 24,Pueblo_Pertenencia=Ignorado} => {Edad=[-7.97e+03,26)}",0.0569722362686316,1,0.0569722362686316,3.68556975505857,2366
"{Grupos_Quinquenales=20 a 24,Pueblo_Pertenencia=Ladino} => {Edad=[-7.97e+03,26)}",0.111945869151677,1,0.111945869151677,3.68556975505857,4649
"{Nivel_Educativo=Licenciatura,Grupos_Quinquenales=20 a 24} => {Edad=[-7.97e+03,26)}",0.0945845072118279,1,0.0945845072118279,3.68556975505857,3928
"{Sexo=Mujer,Grupos_Quinquenales=20 a 24} => {Edad=[-7.97e+03,26)}",0.138024031399745,1,0.138024031399745,3.68556975505857,5732
"{Grupos_Quinquenales=20 a 24,Sector=Privado} => {Edad=[-7.97e+03,26)}",0.154735245250307,1,0.154735245250307,3.68556975505857,6426
"{Nivel_Educativo=Técnico,Grupos_Quinquenales=20 a 24,Pueblo_Pertenencia=Ladino} => {Edad=[-7.97e+03,26)}",0.0567073611211443,1,0.0567073611211443,3.68556975505857,2355
"{Nivel_Educativo=Técnico,Sexo=Mujer,Grupos_Quinquenales=20 a 24} => {Edad=[-7.97e+03,26)}",0.0742372799730309,1,0.0742372799730309,3.68556975505857,3083
"{Nivel_Educativo=Técnico,Grupos_Quinquenales=20 a 24,Sector=Privado} => {Edad=[-7.97e+03,26)}",0.0645332177514508,1,0.0645332177514508,3.68556975505857,2680
"{Sexo=Hombre,Grupos_Quinquenales=20 a 24,Sector=Privado} => {Edad=[-7.97e+03,26)}",0.0509523465530111,1,0.0509523465530111,3.68556975505857,2116
"{Departamento=Guatemala,Nivel_Educativo=Licenciatura,Grupos_Quinquenales=20 a 24} => {Edad=[-7.97e+03,26)}",0.0539141322930964,1,0.0539141322930964,3.68556975505857,2239
"{Departamento=Guatemala,Grupos_Quinquenales=20 a 24,Sector=Privado} => {Edad=[-7.97e+03,26)}",0.0581039755351682,1,0.0581039755351682,3.68556975505857,2413
"{Nivel_Educativo=Licenciatura,Grupos_Quinquenales=20 a 24,Pueblo_Pertenencia=Ladino} => {Edad=[-7.97e+03,26)}",0.054443882588071,1,0.054443882588071,3.68556975505857,2261
"{Sexo=Mujer,Grupos_Quinquenales=20 a 24,Pueblo_Pertenencia=Ladino} => {Edad=[-7.97e+03,26)}",0.0790291121866647,1,0.0790291121866647,3.68556975505857,3282
"{Grupos_Quinquenales=20 a 24,Sector=Privado,Pueblo_Pertenencia=Ladino} => {Edad=[-7.97e+03,26)}",0.0840376604300609,1,0.0840376604300609,3.68556975505857,3490
"{Nivel_Educativo=Licenciatura,Sexo=Mujer,Grupos_Quinquenales=20 a 24} => {Edad=[-7.97e+03,26)}",0.0625346143658648,1,0.0625346143658648,3.68556975505857,2597
"{Nivel_Educativo=Licenciatura,Grupos_Quinquenales=20 a 24,Sector=Privado} => {Edad=[-7.97e+03,26)}",0.0882275036721327,1,0.0882275036721327,3.68556975505857,3664
"{Sexo=Mujer,Grupos_Quinquenales=20 a 24,Sector=Privado} => {Edad=[-7.97e+03,26)}",0.103782898697296,1,0.103782898697296,3.68556975505857,4310
"{Departamento=Guatemala,Nivel_Educativo=Licenciatura,Grupos_Quinquenales=20 a 24,Sector=Privado} => {Edad=[-7.97e+03,26)}",0.0509282669941487,1,0.0509282669941487,3.68556975505857,2115
"{Sexo=Mujer,Grupos_Quinquenales=20 a 24,Sector=Privado,Pueblo_Pertenencia=Ladino} => {Edad=[-7.97e+03,26)}",0.0576223843579186,1,0.0576223843579186,3.68556975505857,2393
"{Nivel_Educativo=Licenciatura,Sexo=Mujer,Grupos_Quinquenales=20 a 24,Sector=Privado} => {Edad=[-7.97e+03,26)}",0.0587541236244552,1,0.0587541236244552,3.68556975505857,2440
"{Edad=[-7.97e+03,26),Sector=Privado} => {Grupos_Quinquenales=20 a 24}",0.154735245250307,0.739640883977901,0.20920320739724,3.6786282958944,6426
"{Departamento=Guatemala,Nivel_Educativo=Licenciatura,Edad=[-7.97e+03,26),Sector=Privado} => {Grupos_Quinquenales=20 a 24}",0.0509282669941487,0.727053970436576,0.0700474367309591,3.61602686685755,2115
"{Sexo=Hombre,Edad=[-7.97e+03,26),Sector=Privado} => {Grupos_Quinquenales=20 a 24}",0.0509523465530111,0.71899422358138,0.0708661417322835,3.57594145043247,2116
"{Departamento=Guatemala,Edad=[-7.97e+03,26),Sector=Privado} => {Grupos_Quinquenales=20 a 24}",0.0581039755351682,0.715599051008304,0.0811962724842881,3.55905544782321,2413
"{Sexo=Hombre,Edad=[-7.97e+03,26)} => {Grupos_Quinquenales=20 a 24}",0.0630402851019769,0.707950243374797,0.0890462086734571,3.52101385115113,2618
"{Edad=[-7.97e+03,26),Pueblo_Pertenencia=Ignorado} => {Grupos_Quinquenales=20 a 24}",0.0569722362686316,0.70332936979786,0.0810036360133882,3.49803178423177,2366
"{Nivel_Educativo=Licenciatura,Sexo=Mujer,Edad=[-7.97e+03,26),Sector=Privado} => {Grupos_Quinquenales=20 a 24}",0.0587541236244552,0.699140401146132,0.0840376604300609,3.47719781068236,2440
"{Departamento=Guatemala,Edad=[-7.97e+03,26)} => {Grupos_Quinquenales=20 a 24}",0.0677598786390233,0.693274205469327,0.097738929422813,3.44802209328571,2814
"{Nivel_Educativo=Licenciatura,Edad=[-7.97e+03,26),Sector=Privado} => {Grupos_Quinquenales=20 a 24}",0.0882275036721327,0.684987848195925,0.128801560355414,3.40680962248246,3664
"{Departamento=Guatemala,Nivel_Educativo=Licenciatura,Edad=[-7.97e+03,26)} => {Grupos_Quinquenales=20 a 24}",0.0539141322930964,0.683455433455433,0.0788846348334899,3.39918810730188,2239
"{Nivel_Educativo=Licenciatura,Sexo=Mujer,Edad=[-7.97e+03,26)} => {Grupos_Quinquenales=20 a 24}",0.0625346143658648,0.672972272609484,0.0929230176503166,3.34704976158075,2597
"{Nivel_Educativo=Licenciatura,Edad=[-7.97e+03,26),Pueblo_Pertenencia=Ladino} => {Grupos_Quinquenales=20 a 24}",0.054443882588071,0.670124481327801,0.0812444316020131,3.33288617785177,2261
"{Nivel_Educativo=Licenciatura,Edad=[-7.97e+03,26)} => {Grupos_Quinquenales=20 a 24}",0.0945845072118279,0.655431336559319,0.144308796262852,3.25980933843976,3928
"{Grupos_Quinquenales=40 a 44} => {Edad=[34,124]}",0.0582002937706181,1,0.0582002937706181,2.89118629908104,2417
"{Grupos_Quinquenales=70 y más} => {Edad=[34,124]}",0.0616195911290905,1,0.0616195911290905,2.89118629908104,2559
"{Grupos_Quinquenales=35 a 39} => {Edad=[34,124]}",0.10431264899227,1,0.10431264899227,2.89118629908104,4332
"{Grupos_Quinquenales=70 y más,Pueblo_Pertenencia=Ignorado} => {Edad=[34,124]}",0.0611379999518409,1,0.0611379999518409,2.89118629908104,2539
"{Grupos_Quinquenales=70 y más,Sector=Privado} => {Edad=[34,124]}",0.0611620795107034,1,0.0611620795107034,2.89118629908104,2540
"{Nivel_Educativo=Licenciatura,Grupos_Quinquenales=35 a 39} => {Edad=[34,124]}",0.0583688506826555,1,0.0583688506826555,2.89118629908104,2424
"{Sexo=Mujer,Grupos_Quinquenales=35 a 39} => {Edad=[34,124]}",0.0636904331912639,1,0.0636904331912639,2.89118629908104,2645
"{Grupos_Quinquenales=35 a 39,Sector=Privado} => {Edad=[34,124]}",0.0578631799465434,1,0.0578631799465434,2.89118629908104,2403
"{Grupos_Quinquenales=70 y más,Sector=Privado,Pueblo_Pertenencia=Ignorado} => {Edad=[34,124]}",0.0610176021575285,1,0.0610176021575285,2.89118629908104,2534
"{Grupos_Quinquenales=70 y más,Sector=Privado} => {Pueblo_Pertenencia=Ignorado}",0.0610176021575285,0.997637795275591,0.0611620795107034,2.27942891725352,2534
"{Edad=[34,124],Grupos_Quinquenales=70 y más,Sector=Privado} => {Pueblo_Pertenencia=Ignorado}",0.0610176021575285,0.997637795275591,0.0611620795107034,2.27942891725352,2534
"{Grupos_Quinquenales=70 y más} => {Pueblo_Pertenencia=Ignorado}",0.0611379999518409,0.992184447049629,0.0616195911290905,2.26696896465251,2539
"{Edad=[34,124],Grupos_Quinquenales=70 y más} => {Pueblo_Pertenencia=Ignorado}",0.0611379999518409,0.992184447049629,0.0616195911290905,2.26696896465251,2539
"{Nivel_Educativo=Licenciatura,Sexo=Mujer,Edad=[26,34),Sector=Privado} => {Grupos_Quinquenales=25 a 29}",0.0703604709961713,0.676702176933766,0.103975535168196,2.22560898914092,2922
"{Grupos_Quinquenales=30 a 34,Pueblo_Pertenencia=Ladino} => {Edad=[26,34)}",0.0674709239326736,0.846781504986401,0.0796792602759517,2.21225397084677,2802
"{Nivel_Educativo=Licenciatura,Grupos_Quinquenales=30 a 34,Sector=Privado} => {Edad=[26,34)}",0.0593801921548797,0.845969125214408,0.070191914084134,2.21013159291829,2466
"{Sexo=Mujer,Grupos_Quinquenales=30 a 34,Sector=Privado} => {Edad=[26,34)}",0.0580076572997183,0.845559845559846,0.0686026631992102,2.20906233179761,2409
"{Nivel_Educativo=Licenciatura,Grupos_Quinquenales=30 a 34} => {Edad=[26,34)}",0.0847841267547979,0.843757488617302,0.100483999133136,2.2043535949162,3521
"{Sexo=Mujer,Grupos_Quinquenales=30 a 34} => {Edad=[26,34)}",0.0863252185219967,0.842538190364277,0.102458522959859,2.20116812453687,3585
"{Departamento=Guatemala,Grupos_Quinquenales=30 a 34} => {Edad=[26,34)}",0.071444051144983,0.841940976163451,0.0848563654313853,2.19960787613814,2967
