"rules","support","confidence","coverage","lift","count"
"{Nivel_Educativo=Licenciatura,Pueblo_Pertenencia=Ladino} => {Departamento=Guatemala}",0.214117449099781,0.647582697201018,0.330641090358405,1.49779488984847,2545
"{Departamento=Guatemala,Sexo=Mujer} => {Pueblo_Pertenencia=Ladino}",0.205115261652364,0.777423469387755,0.263839811542992,1.22179761432538,2438
"{Nivel_Educativo=Licenciatura} => {Departamento=Guatemala}",0.279740871613663,0.526440785307156,0.53138145717651,1.2176055991751,3325
"{Departamento=Guatemala} => {Nivel_Educativo=Licenciatura}",0.279740871613663,0.647013037555945,0.432357395254922,1.2176055991751,3325
"{Departamento=Guatemala} => {Pueblo_Pertenencia=Ladino}",0.334511189634865,0.773691379645845,0.432357395254922,1.21593226741644,3976
"{Pueblo_Pertenencia=Ladino} => {Departamento=Guatemala}",0.334511189634865,0.525717307946582,0.636294800605755,1.21593226741644,3976
"{Departamento=Guatemala,Pueblo_Pertenencia=Ladino} => {Nivel_Educativo=Licenciatura}",0.214117449099781,0.640090543259557,0.334511189634865,1.20457824527915,2545
"{Departamento=Guatemala,Nivel_Educativo=Licenciatura} => {Pueblo_Pertenencia=Ladino}",0.214117449099781,0.765413533834586,0.279740871613663,1.20292281676027,2545
"{Grupos_Quinquenales=25 a 29} => {Pueblo_Pertenencia=Ladino}",0.211341073531886,0.748064324002382,0.282517247181558,1.17565682336273,2512
"{Edad=[35,99]} => {Nivel_Educativo=Licenciatura}",0.222614840989399,0.619817287420942,0.359162039374053,1.1664262631864,2646
"{Edad=[27,35)} => {Pueblo_Pertenencia=Ladino}",0.26653205451792,0.736915561758549,0.361686017163049,1.1581354445408,3168
"{Nivel_Educativo=Técnico} => {Sexo=Mujer}",0.274524650849739,0.719991173874669,0.381288911324247,1.11881488987767,3263
"{Edad=[27,35)} => {Nivel_Educativo=Licenciatura}",0.213612653541982,0.590602465689695,0.361686017163049,1.11144726206265,2539
"{Sexo=Hombre} => {Nivel_Educativo=Licenciatura}",0.203600874978967,0.571158838801038,0.356469796399125,1.07485654813001,2420
"{Pueblo_Pertenencia=Ladino} => {Sexo=Mujer}",0.41115598182736,0.64617215390718,0.636294800605755,1.00410540218862,4887
"{Sexo=Mujer} => {Pueblo_Pertenencia=Ladino}",0.41115598182736,0.638907046672768,0.643530203600875,1.00410540218862,4887
"{Edad=[35,99]} => {Sexo=Mujer}",0.230102641763419,0.640665261185289,0.359162039374053,0.995548083991156,2735
"{Sexo=Hombre} => {Pueblo_Pertenencia=Ladino}",0.225138818778395,0.631578947368421,0.356469796399125,0.992588571786467,2676
"{Nivel_Educativo=Técnico} => {Pueblo_Pertenencia=Ladino}",0.237506309944472,0.622903795233892,0.381288911324247,0.97895471508,2823
"{Pueblo_Pertenencia=Ladino} => {Nivel_Educativo=Licenciatura}",0.330641090358405,0.519635065450218,0.636294800605755,0.977894614936874,3930
"{Nivel_Educativo=Licenciatura} => {Pueblo_Pertenencia=Ladino}",0.330641090358405,0.622229259024699,0.53138145717651,0.977894614936873,3930
"{Sexo=Mujer} => {Nivel_Educativo=Licenciatura}",0.327780582197543,0.509347627140803,0.643530203600875,0.958534815737109,3896
"{Nivel_Educativo=Licenciatura} => {Sexo=Mujer}",0.327780582197543,0.616846105129829,0.53138145717651,0.958534815737109,3896
"{Departamento=Guatemala,Pueblo_Pertenencia=Ladino} => {Sexo=Mujer}",0.205115261652364,0.61317907444668,0.334511189634865,0.95283651181504,2438
"{Edad=[27,35)} => {Sexo=Mujer}",0.221268719501935,0.611770179111421,0.361686017163049,0.950647189033645,2630
"{Departamento=Guatemala} => {Sexo=Mujer}",0.263839811542992,0.610235454368554,0.432357395254922,0.948262336334767,3136
